FirstName,MiddleName,LastName,Alias,NetWorth,Age,Role,Cid,Sid,Pid
Georgy,,Phipson,,$359453.75,67,First Mate,98,147,51
Lemar,,Commings,,$954202.82,42,Quartermaster,16,355,52
Keen,Daniel,Howling,,$422880.94,40,Cabin Boy,14,289,53
Hector,Elizabeth,Igglesden,,$628976.25,19,Gunner,19,358,54
Monte,,Harbord,Cutthroat Clay,$379121.24,15,Gunner,71,103,55
Selestina,Elizabeth,Radeliffe,,$372572.97,70,Gunner,18,378,56
Wait,,Etchell,The Sea Demon,$392619.20,57,Captain,73,350,57
Maribelle,Jennifer,Mimmack,Boneblade Bartholomew,$936067.23,13,Captain,63,137,58
Gunter,,Bernardes,,$736070.96,63,Gunner,45,470,59
Marna,,Medforth,,$787312.46,37,Quartermaster,59,272,60
Gabi,,Milesop,,$900582.55,21,Boatswain,20,303,61
Terry,,Ramberg,,$215876.59,42,First Mate,47,455,62
Dolly,,McGeever,,$698035.88,53,Cabin Boy,3,320,63
Karie,Samantha,Lord,Shardjaw Sampson,$702543.96,20,First Mate,95,233,64
Janetta,Elizabeth,Hof,,$972688.25,48,Cabin Boy,34,90,65
Gilbertina,Michael,Bollam,,$858522.34,29,Captain,24,134,66
Teodora,,Barts,,$478528.30,53,Navigator,54,405,67
Sunshine,,Durram,Stormrider Soren,$609520.93,29,Boatswain,8,168,68
Alethea,Robert,Fydoe,,$54037.03,25,Gunner,31,176,69
Kasey,,Andresser,Scornful Sid,$22623.87,35,Navigator,59,235,70
Janaya,Joseph,Redmond,,$354473.22,28,First Mate,75,175,71
Galvan,Michael,Rosson,The Black Tempest,$326905.85,78,Quartermaster,24,309,72
Odey,,Furber,,$696544.61,24,First Mate,85,47,73
Danyelle,,Cowpland,Coldshot Carl,$561258.68,58,First Mate,1,156,74
Petr,Matthew,Freathy,,$442844.07,53,Navigator,77,262,75
Elijah,Christopher,Scrooby,The Silent Cutter,$808143.02,51,Captain,29,232,76
Mallissa,,Licas,,$477205.14,49,Cabin Boy,44,500,77
Andros,,Behnecke,Scarred Sable,$554599.76,58,Cabin Boy,67,345,78
Jeanie,Amanda,Woodhouse,,$734554.51,16,Cabin Boy,97,82,79
Donnajean,,Pigford,,$711664.61,11,Quartermaster,11,275,80
Nada,Jessica,Varlow,,$650217.15,76,Cabin Boy,89,322,81
Laird,,Damrel,Stormbringer Sullivan,$496248.20,70,Cabin Boy,71,148,82
Francklyn,,Clemmen,,$914417.58,44,Gunner,58,360,83
Tucky,Jennifer,Okie,,$99407.51,33,First Mate,45,173,84
Herman,Jessica,Zoane,Blackfin Bridget,$817294.83,37,Captain,4,246,85
Andreas,,Bolliver,,$978972.66,65,Boatswain,21,28,86
Tamara,Emily,Bowering,,$932475.01,70,Boatswain,27,441,87
Olympie,,Warwick,Captain Swiftstrike,$640408.24,78,Boatswain,57,109,88
Luella,,Ackenson,,$318030.24,73,Captain,2,189,89
Kara-lynn,,Grimwood,,$34143.80,78,Boatswain,73,18,90
Lars,,Krolik,,$470717.13,41,Navigator,83,499,91
Marleen,,Speirs,,$124200.30,15,First Mate,9,113,92
Wendeline,,Broschek,,$528333.31,45,Captain,72,105,93
Dicky,,Chaff,Blackgale Ben,$25891.57,31,Navigator,37,396,94
Donnajean,Matthew,Pressnell,Iron Reaper,$553997.26,48,Gunner,91,399,95
Celisse,,Curme,,$186302.65,71,First Mate,62,366,96
Marcy,,Dodworth,Grim Tide Greg,$535652.25,58,Boatswain,38,243,97
Zara,,Klewer,,$439242.35,45,Boatswain,7,383,98
Alick,,Lincke,,$308734.30,51,Quartermaster,15,96,99
Jackie,,Furphy,,$402242.80,47,Navigator,44,462,100
Shelia,,Kibbe,,$709024.82,56,Gunner,100,330,101
Terri-jo,,Wyer,,$44620.41,80,Quartermaster,34,141,102
Ameline,,Skelton,,$196896.57,13,Captain,78,459,103
Sallee,,Gibbetts,Iceblood Ivana,$773649.50,50,Gunner,89,177,104
Stace,,Chatburn,Vengeful Vixen,$73342.77,48,Boatswain,93,260,105
Sallee,,Colbran,,$84880.19,71,Cabin Boy,16,241,106
Somerset,,Grimsdell,,$134275.96,43,Captain,81,204,107
Stesha,,Scrace,,$491035.80,33,Boatswain,73,234,108
Emile,,Bestwerthick,,$810871.12,74,First Mate,66,495,109
Zack,,Besque,,$698980.15,55,Navigator,17,3,110
Sammy,,Ghest,The Kraken King,$393897.57,77,Captain,63,247,111
Skylar,,Gerckens,,$657908.85,21,Navigator,52,213,112
Ravi,,Garling,,$277859.66,71,Captain,82,372,113
Chrissy,,Lavallin,,$942011.85,38,Gunner,67,189,114
Jonathan,Ashley,Huggons,,$590027.65,63,Navigator,33,70,115
Jaclin,,Bellelli,,$644159.45,36,Navigator,98,40,116
Gerome,,Shieber,,$810057.85,32,Boatswain,3,296,117
Eulalie,Ashley,Wittrington,,$987999.08,66,Quartermaster,27,330,118
Bernhard,Ashley,Paal,Stormcloud Sam,$737891.26,46,Cabin Boy,80,210,119
Buddie,Sarah,Ainslee,,$19018.29,42,Cabin Boy,41,437,120
Jule,Matthew,Tinman,,$615773.38,14,Quartermaster,94,166,121
Karleen,Samantha,Coy,,$929542.01,65,Gunner,15,197,122
Michelina,Jennifer,O'Neary,,$45430.29,68,Cabin Boy,100,362,123
Ginger,,Tigwell,Deathblade Daniel,$167716.85,52,Boatswain,64,354,124
Adey,Christopher,Gowthrop,The Vile Vengeance,$802383.66,71,Cabin Boy,90,129,125
Paxon,,Node,,$271568.25,46,Quartermaster,11,79,126
Feliks,,MacConnulty,Pirate King Klaus,$884970.39,51,Boatswain,22,309,127
Elinor,Nicole,Dowry,The Black Shroud,$998099.53,53,Quartermaster,21,74,128
Merill,,Konke,,$227612.32,22,Gunner,20,15,129
Deidre,,Rendell,,$775420.86,17,Navigator,10,227,130
Natala,,Latter,Devil’s Whisper,$792662.71,19,Captain,17,182,131
Stephanie,Emily,Scathard,Tidestriker Ted,$793783.30,46,Gunner,65,353,132
Ardine,,Diwell,Bloodwind Bane,$570690.92,64,Captain,84,493,133
Humberto,,Jeffries,,$755691.43,46,Cabin Boy,26,338,134
Maurits,,Trineman,,$880152.81,16,Quartermaster,49,59,135
Angus,,Ianni,,$952918.28,79,Quartermaster,50,415,136
Darda,Melissa,Heaffey,Vile Deathspike,$355130.91,11,Gunner,36,482,137
Arnoldo,Jennifer,Chadbourn,Deadlock Derek,$553473.96,49,Captain,19,405,138
Sam,,Vegas,Phantomflare Phil,$757036.07,75,Quartermaster,8,498,139
Marlene,Melissa,Shilito,Shaded Sailor,$762415.45,41,Cabin Boy,23,141,140
Tandie,Joseph,Stable,,$918690.78,61,Gunner,78,270,141
Enos,Samantha,Summerell,,$19914.06,33,First Mate,45,251,142
Fitzgerald,Christopher,Rangall,Saltspike Selena,$742817.85,41,Cabin Boy,22,393,143
Ban,,Aiskovitch,,$321597.51,18,Captain,46,365,144
Brook,James,Geerling,Blackrage Bonnie,$995349.38,39,First Mate,41,332,145
Rosalie,Robert,Enric,,$578825.12,40,Navigator,80,126,146
Marquita,,Brocking,,$114187.69,60,First Mate,96,346,147
Faber,,Valadez,,$953272.51,43,Quartermaster,59,254,148
Seymour,,Spanton,Silent Hammer Sam,$762848.45,34,First Mate,18,356,149
Caspar,,Burgisi,,$184096.30,58,Cabin Boy,98,138,150
Veriee,,Screen,,$751795.35,77,Boatswain,73,297,151
Toby,,Goodhand,,$656282.44,46,Captain,24,153,152
Barny,William,Barczewski,Ironclaw Ivan,$276673.76,44,Navigator,20,56,153
Aldus,Daniel,Thake,,$248135.84,12,Captain,53,45,154
Cecelia,,Males,,$938928.38,43,Navigator,34,234,155
Krisha,Christopher,Tutchener,,$848429.16,25,Navigator,28,57,156
Rockwell,Robert,Minot,,$70108.08,78,Quartermaster,11,316,157
Fabien,,Gymlett,Blackrat Brad,$679533.64,46,Captain,38,468,158
Llywellyn,Jennifer,Kadwallider,,$18476.66,60,Captain,50,373,159
Neddy,,Birkinshaw,,$618324.29,24,First Mate,49,333,160
Micheal,,Fann,,$336419.01,27,Cabin Boy,61,92,161
Berri,,Job,The Raging Siren,$408030.97,75,Navigator,28,262,162
Anastasie,,Hiseman,,$505858.79,57,Captain,24,57,163
Gordan,Amanda,Garraway,Furyfin Fred,$854624.41,27,Quartermaster,71,139,164
Jayme,,Tacker,,$860805.81,28,Navigator,12,142,165
Roselin,Jennifer,Argabrite,,$291489.58,32,Gunner,93,109,166
Berny,,Sinnett,The Silent Seafarer,$500101.11,49,Quartermaster,6,249,167
Brook,,Elvish,Bonefin Betty,$776675.04,36,Navigator,1,152,168
Cordi,William,Odeson,,$3435.29,51,First Mate,37,426,169
Mureil,,Greg,,$100659.14,47,Boatswain,48,130,170
Elvis,Nicole,McLenahan,,$203235.64,66,Gunner,53,327,171
Hanna,,Dowdall,,$1869.34,34,Quartermaster,23,352,172
Sandi,,Binfield,,$247116.30,70,Navigator,77,349,173
Tamarah,,Smallpiece,,$138048.90,49,Boatswain,33,40,174
Ema,,Crosfield,Stormcaller Sienna,$569990.02,28,Cabin Boy,75,91,175
Bonnibelle,,Trevon,,$329943.46,16,Navigator,68,377,176
Judah,,Garthshore,Bloodrage Byron,$691299.65,31,Captain,13,358,177
Maddalena,,Fennessy,Nightbound Nigel,$48798.05,45,Quartermaster,29,78,178
Beverly,,MacAlpin,,$433599.71,25,Captain,82,400,179
Denys,,Brimmacombe,The Dark Marauder,$695323.27,27,Cabin Boy,50,131,180
Elysee,Sarah,Saunper,,$716218.03,79,Gunner,7,239,181
Meryl,,Ciobutaru,,$786689.74,17,Captain,19,145,182
Jo,,Ionnisian,,$386562.15,76,First Mate,83,15,183
Maddy,,Netting,Blightbound Briar,$885920.38,21,Captain,79,230,184
Estele,,Cubbino,Coldshadow Claude,$254865.07,54,Boatswain,56,438,185
Logan,,Weld,,$700906.59,57,Captain,32,291,186
Bryn,Daniel,Saffon,Ravenblade Ruth,$828601.95,32,Quartermaster,75,234,187
See,Christopher,Saladine,,$929178.98,48,Captain,64,499,188
Dewain,Elizabeth,Limpricht,Graveclaw Gerald,$527445.49,21,Cabin Boy,35,210,189
Orel,,Jardin,The Devil’s Cradle,$187644.77,69,Cabin Boy,40,339,190
Isabeau,Melissa,Henrichs,Cursebreaker Cass,$750241.75,31,First Mate,26,465,191
Roy,,Butt,,$114291.98,58,Navigator,73,236,192
Marcela,,Grabeham,,$653449.78,23,Captain,44,485,193
Honoria,James,Aizikov,Redfang Roxy,$200367.16,24,Navigator,85,393,194
Obie,,Oakenford,Tempest’s Terror,$539653.08,18,Cabin Boy,20,414,195
Byron,,Trangmar,,$100402.71,70,Boatswain,14,477,196
Cyndi,Robert,Pendrey,Hellfire Hector,$771081.76,31,Captain,48,470,197
Randall,,Borrie,,$182151.93,28,First Mate,76,39,198
Wynn,Emily,Drinkale,Boneclaw Billy,$307814.33,47,Cabin Boy,92,361,199
Iosep,,Titherington,,$179445.72,76,First Mate,99,346,200
Stephana,,Hould,,$427520.35,38,Cabin Boy,34,202,201
Vivyan,,Outerbridge,Captain Blackthorn,$767500.70,36,Captain,42,454,202
Demetri,,Hains,,$414094.34,75,Navigator,36,424,203
Charo,Nicole,Canete,Widowmaker Wanda,$492627.74,57,First Mate,81,462,204
Dag,Amanda,Burrus,Frostfang Felix,$262557.89,53,Cabin Boy,70,153,205
Gardner,,Yateman,The Raging Tide,$694198.78,13,Gunner,79,232,206
Darya,,Scarff,,$563642.67,33,Boatswain,83,445,207
Claire,,Cheney,,$407064.86,71,Boatswain,35,456,208
Inness,,Wickersham,,$423431.54,10,First Mate,99,249,209
Mal,,Bauldry,,$658166.93,34,Cabin Boy,41,280,210
Isaak,,Thresh,,$984969.71,71,Gunner,6,459,211
Natale,,Hedau,,$141870.15,71,Quartermaster,7,481,212
Meghan,,Caldero,,$526084.50,54,First Mate,87,457,213
Celisse,,Raun,,$896377.61,41,First Mate,90,133,214
Lemar,,Siward,,$225305.79,70,Captain,70,477,215
Addi,,Glendzer,Moonshadow Mel,$471156.05,14,Gunner,12,252,216
Giuditta,,Franscioni,Stormstrike Sidney,$218137.34,47,First Mate,56,15,217
Scottie,,Stuttard,,$162455.68,23,Quartermaster,71,471,218
Curr,,Corkan,,$993081.16,60,Navigator,40,180,219
Harbert,Melissa,Sturney,Shadowclaw Shane,$573403.05,55,First Mate,68,318,220
Phyllis,,Girkins,,$224185.59,43,Cabin Boy,98,388,221
Aimil,,MacChaell,,$223179.98,47,First Mate,80,382,222
Ernestus,Samantha,Chasney,The Dagger’s Curse,$440148.08,78,Gunner,16,392,223
Ulrich,Robert,Dagger,Silentstrike Stephen,$318294.14,34,Cabin Boy,50,228,224
Odelia,,Morefield,,$403463.90,30,Boatswain,17,69,225
Dinnie,Sarah,Petre,Scorned Vulture,$940475.97,46,Quartermaster,72,91,226
Ralina,,Polley,Deathclaw Dorian,$133582.29,68,Cabin Boy,77,350,227
Buiron,Sarah,O'Carney,,$699869.33,13,Captain,49,333,228
Verla,,Hamley,,$690401.74,75,Quartermaster,29,349,229
Tyrus,,Jankowski,Raging Reaper,$561709.75,69,First Mate,61,37,230
Ulrica,Elizabeth,Biddwell,The Forsaken Phantom,$605646.54,37,Boatswain,52,236,231
Tina,Amanda,Maevela,,$378434.57,26,Cabin Boy,14,478,232
Gleda,,Duguid,,$636366.69,35,Cabin Boy,22,100,233
Elisa,,Eisikowitch,Skullmist Stellan,$487159.59,75,Quartermaster,41,8,234
Orlan,,Eager,,$196481.75,66,Navigator,5,234,235
Fanechka,,Darker,Silverfang Sera,$788209.43,22,First Mate,73,49,236
Boris,,Sillis,,$150619.74,19,Cabin Boy,97,21,237
Royal,Sarah,Pierro,Wrecking Windwalker,$537642.04,20,Cabin Boy,35,225,238
Gennifer,,Goldstraw,,$530675.53,69,Gunner,15,447,239
Clemmy,,Malling,Cutter’s Reign,$649565.44,48,Boatswain,100,198,240
Paddy,,Pescud,,$666920.57,21,First Mate,2,474,241
Susie,,Cottingham,,$9485.27,65,First Mate,82,93,242
Megan,,Copo,,$506932.36,25,Cabin Boy,70,78,243
Abba,Nicole,Jessup,Ocean’s Curse,$678587.41,63,First Mate,43,31,244
Cirstoforo,,Raynham,,$435925.04,14,Navigator,63,445,245
Corri,Jessica,Atwell,,$632170.08,33,Captain,66,284,246
Ber,,Berrecloth,Bonejaw Brandon,$853398.70,65,Captain,45,425,247
Archambault,,Munning,,$444785.96,33,First Mate,17,414,248
Damaris,Sarah,Jarvis,,$619094.30,24,Cabin Boy,84,473,249
Ted,,Aslie,,$385527.02,35,Navigator,65,136,250
Alvera,,Newis,,$988746.57,43,Boatswain,46,326,251
Janna,,Sneddon,Silent Tide,$349022.63,56,Gunner,61,105,252
Kienan,,Craft,,$916815.35,12,Quartermaster,26,54,253
Rubetta,,Chopping,,$171669.13,42,Quartermaster,28,22,254
Evonne,Robert,Renad,,$572254.18,80,Cabin Boy,25,137,255
Carolina,William,Habberjam,,$249451.89,32,Gunner,60,79,256
Jere,Sarah,Ivain,,$653381.80,53,Boatswain,50,475,257
Letisha,,Strettle,,$44882.95,36,Cabin Boy,83,246,258
Mirilla,,Veck,,$263935.62,29,Cabin Boy,18,332,259
Minnnie,,Birrane,,$511835.32,28,Cabin Boy,32,200,260
Rand,,Lorenzin,Nightfury Nina,$210419.23,47,Quartermaster,23,490,261
Carmelle,Nicole,Toye,,$251683.58,47,Quartermaster,74,159,262
Locke,,Bachura,,$790548.74,77,Cabin Boy,77,156,263
Sloane,Samantha,Duxbury,Thunderclaw Ty,$261822.64,35,Boatswain,94,401,264
Elena,,Mostyn,,$693113.78,68,Quartermaster,79,54,265
Mendy,,Ovington,,$537259.41,31,First Mate,68,391,266
Maridel,,Olivier,,$993243.10,57,Quartermaster,39,174,267
Alyss,,Braghini,,$651793.08,11,Quartermaster,1,151,268
Karim,,Ker,,$390020.50,68,First Mate,100,433,269
Mendie,Michael,Fishburn,,$436052.82,58,Cabin Boy,56,385,270
Anatol,Elizabeth,Sherwill,,$120552.77,29,Cabin Boy,93,128,271
Adena,,Lunge,,$788810.31,75,Navigator,30,120,272
Desmond,,Dysart,Blackfang Beck,$862337.19,17,Quartermaster,8,208,273
Cyrill,,Mandre,Seawitch Scarlett,$942284.70,65,Captain,24,111,274
Joann,,Rawcliffe,,$737816.36,45,Cabin Boy,21,277,275
Luigi,,Sisnett,,$533424.58,33,Gunner,12,211,276
Shanan,Matthew,Dace,,$265877.85,27,Gunner,37,31,277
Egor,,McCooke,The Bleak Buccaneer,$844128.85,80,Captain,50,468,278
Garek,,Gibbings,,$218012.19,44,First Mate,17,124,279
Phylis,,Stocken,,$502908.83,40,Gunner,100,252,280
Hermon,James,Laterza,,$220353.35,58,Navigator,27,390,281
Alvina,,Kimbrey,,$888496.28,19,Cabin Boy,95,254,282
Andonis,James,Kocher,,$691296.86,74,Quartermaster,9,203,283
Becky,,Gylle,,$255084.11,47,Navigator,22,317,284
Emmery,,Keast,Bloodwake Baldwin,$51748.12,26,Captain,99,416,285
Belva,Michael,Cornwall,,$592051.46,27,Cabin Boy,1,410,286
Aarika,,Terlinden,Skullbreaker Sam,$420155.07,40,Quartermaster,74,80,287
Hoyt,David,Bernat,,$440705.61,74,First Mate,60,306,288
Rhodia,,Duchant,Sea Ghost Gloria,$944069.36,44,Navigator,81,176,289
Fernande,,Staniforth,The Dark Straits,$104468.36,45,Quartermaster,91,275,290
Dione,,Errichi,,$879829.82,16,Quartermaster,18,49,291
Nikkie,,Sproson,,$930380.78,48,Quartermaster,82,4,292
Josephina,,Pesek,Wavebound Wendell.,$743369.83,38,Quartermaster,4,228,293
Rozelle,Daniel,Cheshir,Blackbeard Graves,$112488.68,24,Boatswain,98,25,294
Zora,,Manford,,$198538.09,53,Captain,93,462,295
Jannel,,Swale,,$72368.22,31,Captain,26,255,296
Stafani,David,Hawlgarth,,$81819.82,18,Quartermaster,92,402,297
Jeannette,Amanda,Biddlecombe,,$811083.31,57,Boatswain,46,382,298
Arman,,Purcell,,$784606.47,67,Navigator,44,27,299
Oberon,,Cholwell,,$448120.65,76,Navigator,26,64,300
Malinde,,Kirkby,,$722706.09,27,Quartermaster,39,50,301
Alma,,Hoovart,Dagger Jim,$253792.06,52,First Mate,20,441,302
Jacinthe,Ashley,Nickless,Sea Widow Nash,$992322.69,57,Boatswain,38,345,303
Cecil,,Ackerman,,$439941.51,33,Quartermaster,30,329,304
Way,,Kearney,,$538981.04,19,Quartermaster,77,352,305
Nikos,,Sempill,Steeljaw Sam,$793062.47,75,Navigator,43,309,306
Tiertza,,Sarath,,$632300.97,23,Gunner,14,430,307
Nevin,,Corner,Scallywag Shawn,$479468.88,48,Navigator,49,487,308
Ryann,,Skirrow,,$29986.91,27,Gunner,82,321,309
Bendix,William,Szymanowicz,,$351537.20,31,First Mate,85,295,310
Matthew,,Luipold,,$236001.37,12,Boatswain,19,194,311
Michell,Amanda,Robbeke,,$517311.04,59,Quartermaster,6,476,312
Arabelle,,Davoren,,$535453.35,37,First Mate,10,35,313
Frederic,,Mabbe,Frostbite Frank,$435565.86,72,Gunner,71,328,314
Bellanca,,Gopsell,,$344105.49,21,Gunner,11,215,315
Lilah,,Menure,Bonecrusher Bill,$99157.32,57,Cabin Boy,41,97,316
Katheryn,,Ockwell,,$79771.09,36,Gunner,32,354,317
Felita,,Woodroffe,,$980905.25,26,Gunner,55,209,318
Carmelita,,Antwis,Reaper Rena,$511775.55,76,Gunner,68,332,319
Noll,,Kertess,,$340411.42,62,Captain,4,103,320
Zandra,,Janu,,$426101.80,56,First Mate,90,269,321
Colver,Melissa,d' Elboux,Marauder Mac,$72813.51,45,Gunner,76,79,322
Haily,John,Boarer,,$249413.74,32,Quartermaster,8,68,323
Cherish,,Wickrath,,$111450.01,55,Cabin Boy,89,307,324
Andi,,Shacklady,,$626313.01,59,Boatswain,58,292,325
Lazar,,Gratton,,$250979.88,17,Captain,30,370,326
Greg,,Labes,,$776127.46,55,Boatswain,44,247,327
Codee,,Fantone,Siren’s Scream Sean,$153568.66,55,Boatswain,92,34,328
Bartholomeus,Nicole,Tesyro,,$929151.87,56,First Mate,46,243,329
Gherardo,,Culpan,,$828657.01,34,Cabin Boy,24,48,330
Ken,,Vyvyan,,$627953.04,71,First Mate,70,260,331
Clarissa,Robert,O'Carran,Vicious Vane,$639615.47,10,Boatswain,15,329,332
Danila,John,Fenimore,,$239664.31,67,Cabin Boy,68,140,333
Alidia,,Rosenau,Captain Blackstone,$290810.14,16,Boatswain,34,207,334
Boycey,Jessica,Forman,,$819481.40,46,Boatswain,66,32,335
Marjory,James,Wiltshaw,,$244648.27,68,Gunner,39,337,336
Davide,,Whittet,,$359578.17,41,Navigator,16,351,337
Selena,Matthew,Richardes,Wraith Walker Wayne,$778667.55,39,Quartermaster,78,350,338
Ber,,Goundry,,$745786.52,74,Boatswain,6,273,339
Philippa,,Bruyet,,$899342.89,59,Navigator,52,228,340
Sarina,Jessica,Slane,,$427838.51,12,Cabin Boy,94,335,341
Alexis,Emily,Hissett,,$628060.81,50,Navigator,86,338,342
Rosalynd,John,Dowman,,$103926.32,36,Cabin Boy,40,437,343
Byram,,Hulland,,$727032.87,38,Quartermaster,80,199,344
Amii,,Witty,The Stormbreaker,$587331.42,66,Captain,62,1,345
Fredra,,Puden,,$788007.36,69,Captain,86,404,346
Phyllida,Amanda,Airey,,$551251.28,66,Navigator,43,49,347
Vale,,Devany,,$683115.12,45,Navigator,51,279,348
Colene,,Bruckent,Dreadbone Dave,$285807.63,68,Navigator,3,492,349
Georgena,,Spileman,,$434481.81,34,Boatswain,61,464,350
Marcos,,Sitlinton,,$586138.12,73,Gunner,45,497,351
Anallise,Sarah,Blakemore,,$287563.13,13,Boatswain,52,352,352
Eleanore,,Rosenkranc,,$355704.13,71,Cabin Boy,76,205,353
Georgia,,Hutcheon,Bloody Bill,$121566.14,59,Cabin Boy,79,392,354
Hali,,Beaument,Captain Thorne,$341373.33,13,Captain,22,132,355
Adolph,,Tomczykowski,Plaguefist Piers,$572828.46,25,Quartermaster,64,432,356
Ronalda,,Clemon,,$769677.51,59,First Mate,25,320,357
Carmel,,Parsonage,,$17457.83,33,First Mate,12,211,358
Esme,,Bundey,The Abyss’s Whisper,$371211.23,67,Navigator,74,354,359
Bryn,William,Tidman,,$896461.79,68,Gunner,16,358,360
Damon,,Seeviour,,$780614.77,32,Quartermaster,92,424,361
Grata,,Panks,,$615949.99,78,Cabin Boy,40,469,362
Charmion,,Karp,,$359803.47,19,Captain,30,65,363
Fair,,Strickland,,$533978.32,70,Captain,42,459,364
Tully,,Rudwell,,$480962.73,23,First Mate,83,171,365
Barris,,Fillon,,$49558.19,45,Boatswain,91,450,366
Brigham,,Muttitt,,$609493.99,64,Boatswain,13,461,367
Lodovico,,Van Leijs,,$749519.21,61,Navigator,63,40,368
Cecelia,,Murty,,$196596.48,54,Navigator,75,361,369
Theresina,James,Frie,,$480155.24,60,First Mate,53,247,370
Gretchen,Christopher,Navan,,$217959.17,61,Captain,34,3,371
Fanya,,Corben,,$782521.51,79,Captain,84,241,372
Sibyl,,Sent,,$949502.73,40,Gunner,81,137,373
Onfre,,Pabelik,Deathmark Delilah,$784093.88,14,Quartermaster,20,223,374
Port,,Basley,Stormbringer Sullivan,$526211.13,64,Gunner,19,2,375
Jehanna,,Whyke,,$999600.37,76,Cabin Boy,8,410,376
Agretha,,Isakowicz,,$857914.42,64,Navigator,54,250,377
Rey,,Newbury,,$792229.27,54,Navigator,10,406,378
Morgan,,Franzolini,,$587900.22,38,Navigator,96,107,379
Leshia,,Lyfield,,$394594.78,68,Captain,36,168,380
Meta,,Reveland,,$211567.04,79,Boatswain,49,199,381
Mord,,Balham,,$278769.22,60,Boatswain,51,59,382
Alexa,,Schindler,,$238154.93,32,Captain,61,389,383
Gwendolyn,,Drewe,,$149772.18,46,Quartermaster,33,426,384
Ethelda,,Sisson,Bonebreaker Benny,$658186.83,51,Quartermaster,6,427,385
Terri-jo,Michael,Jearum,,$488659.06,30,Cabin Boy,29,169,386
Yancey,,Radden,,$260825.41,29,First Mate,14,6,387
